全国地方公共団体コード,識別値,種別,名称,名称_カナ,通称,住所表記,郵便番号,緯度,経度,説明,連絡先名称,電話番号,Webサイト
23230,ESG001,小学校,日進市立西小学校,ニッシンシリツニシショウガッコウ,,愛知県日進市浅田町東田面76,4700124,35.12880639,137.0287445,,日進市立西小学校,052-801-0506,http://saas01.netcommons.net/nisshin/htdocs/?page_id=121
23230,ESG002,小学校,日進市立東小学校,ニッシンシリツヒガシショウガッコウ,,愛知県日進市米野木町北畑8-3,4700111,35.13761384,137.0638531,,日進市立東小学校,0561-73-2227,http://saas01.netcommons.net/nisshin/htdocs/?page_id=122
23230,ESG003,小学校,日進市立北小学校,ニッシンシリツキタショウガッコウ,,愛知県日進市岩崎町芝内2-1,4700131,35.14979519,137.0483775,,日進市立北小学校,0561-72-0145,http://saas01.netcommons.net/nisshin/htdocs/?page_id=123
23230,ESG004,小学校,日進市立北小学校青葉分校,ニッシンシリツキタショウガッコウアオバブンコウ,,愛知県日進市岩崎町竹ノ山149-164,4700131,35.15475703,137.039718,,日進市立北小学校青葉分校,0561-73-2254,
23230,ESG005,小学校,日進市立南小学校,ニッシンシリツミナミショウガッコウ,,愛知県日進市折戸町中屋敷70-3,4700115,35.12413423,137.0447034,,日進市立南小学校,0561-73-1320,http://saas01.netcommons.net/nisshin/htdocs/?page_id=100
23230,ESG006,小学校,日進市立相野山小学校,ニッシンシリツアイノヤマショウガッコウ,,愛知県日進市北新町相野山1331-3,4700103,35.15279171,137.0589182,,日進市立相野山小学校,0561-73-1525,http://saas01.netcommons.net/nisshin/htdocs/?page_id=124
23230,ESG007,小学校,日進市立香久山小学校,ニッシンシリツカグヤマショウガッコウ,,愛知県日進市香久山五丁目1701,4700134,35.14231988,137.0288956,,日進市立香久山小学校,052-807-2100,http://saas01.netcommons.net/nisshin/htdocs/?page_id=125
23230,ESG008,小学校,日進市立梨の木小学校,ニッシンシリツナシノキショウガッコウ,,愛知県日進市折戸町梨子ノ木28-31,4700115,35.12041438,137.0567755,,日進市立梨の木小学校,0561-75-0155,http://saas01.netcommons.net/nisshin/htdocs/?page_id=98
23230,ESG009,小学校,日進市立赤池小学校,ニッシンシリツアカイケショウガッコウ,,愛知県日進市赤池三丁目2101,4700125,35.11888044,137.0160594,,日進市立赤池小学校,052-800-3311,http://saas01.netcommons.net/nisshin/htdocs/?page_id=126
23230,ESG010,小学校,日進市立竹の山小学校,ニッシンシリツタケノヤマショウガッコウ,,愛知県日進市竹の山四丁目502,4700136,35.15279481,137.0334744,,日進市立竹の山小学校,0561-75-5330,http://saas01.netcommons.net/nisshin/htdocs/?page_id=719
23230,ECG001,中学校,日進市立日進中学校,ニッシンシリツニッシンチュウガッコウ,,愛知県日進市本郷町西原中通980-1,4700121,35.1358252,137.0398873,,日進市立日進中学校,0561-72-0020,http://saas01.netcommons.net/nisshin/htdocs/?page_id=129
23230,ECG002,中学校,日進市立日進中学校青葉分校,ニッシンシリツニッシンチュウガッコウアオバブンコウ,,愛知県日進市岩崎町竹ノ山149-164 ,4700131,35.15450288,137.0394351,,日進市立日進中学校青葉分校,0561-73-2207,
23230,ECG003,中学校,日進市立日進西中学校,ニッシンシリツニッシンニシチュウガッコウ,,愛知県日進市梅森町向江1597-1,4700132,35.12908197,137.0178514,,日進市立日進西中学校,052-803-4178,http://saas01.netcommons.net/nisshin/htdocs/?page_id=130
23230,ECG004,中学校,日進市立日進東中学校 ,ニッシンシリツニッシンヒガシチュウガッコウ,,愛知県日進市藤島町相山77,4700102,35.13650246,137.0562928,,日進市立日進東中学校 ,0561-73-1196,http://saas01.netcommons.net/nisshin/htdocs/?page_id=988
23230,ECG005,中学校,日進市立日進北中学校,ニッシンシリツニッシンキタチュウガッコウ,,愛知県日進市竹の山四丁目502,4700136,35.1533355,137.0333912,,日進市立日進北中学校,0561-75-5335,http://saas01.netcommons.net/nisshin/htdocs/?page_id=720
23230,EKG001,高等学校,愛知県立日進高等学校,アイチケンリツニッシンコウトウガッコウ,,愛知県日進市米野木町三ヶ峯4-18,4700111,35.14590307,137.0928019,,愛知県立日進高等学校,0561-73-6221,http://www.nisshin-h.aichi-c.ed.jp/
23230,EKG002,高等学校,愛知県立日進西高等学校,アイチケンリツニッシンニシコウトウガッコウ,,愛知県日進市浅田町上小深田8-4,4700124,35.12017963,137.0330648,,愛知県立日進西高等学校,052-804-2131,http://www.nisshinnishi-h.aichi-c.ed.jp/
23230,EKG003,高等学校,中部大学第一高等学校,チュウブダイガクダイイチコウトウガッコウ,,愛知県日進市三本木町細廻間425,4700101,35.14257079,137.0870101,,中部大学第一高等学校,0561-73-8111,http://www.chubu-ichi.ed.jp/main/
23230,EDG001,大学,愛知学院大学　日進キャンパス,アイチガクインダイガク　ニッシンキャンパス,,愛知県日進市岩崎町阿良池12,4700195,35.16178913,137.0467803,,愛知学院大学　日進キャンパス,0561-73-1111,http://www.agu.ac.jp/
23230,EDG002,大学,椙山女学園大学　日進キャンパス,スギヤマジョガクエンダイガク　ニッシンキャンパス,,愛知県日進市竹の山三丁目2005,4700136,35.15339856,137.0347592,,椙山女学園大学　日進キャンパス,0561-74-1186,http://www.sugiyama-u.ac.jp/
23230,EDG003,大学,名古屋商科大学　日進キャンパス,ナゴヤショウカダイガク　ニッシンキャンパス,,愛知県日進市米野木町三ケ峯,4700193,35.1552043,137.0929028,,名古屋商科大学　日進キャンパス,0561-73-2111,http://www.nucba.ac.jp/
23230,EDG004,大学,名古屋学芸大学,ナゴヤガクゲイダイガク,,愛知県日進市岩崎町竹ノ山57,4700196,35.15739754,137.0423122,,名古屋学芸大学,0561-75-7111,https://www.nuas.ac.jp/
23230,EDG005,大学,名古屋外国語大学,ナゴヤガイコクゴダイガク,,愛知県日進市岩崎町竹ノ山57,4700197,35.15842275,137.0426577,,名古屋外国語大学,0561-74-1111,http://www.nufs.ac.jp/
23230,KYS001,教育施設,日進市教育支援センター,ニッシンシキョウイクシエンセンター,,愛知県日進市岩藤町大清水919番地1,4700104,35.148264,137.071951,,日進市教育支援センター,0561-73-4500,http://www.city.nisshin.lg.jp/kyouiku/gakko/tekioushido.html
