名称,緯度,経度,説明
休日急病診療所,35.132795,137.042009,日進市中央福祉センター内にある休日急病診療所です．
西部福祉会館,35.12599221,137.0147748,乳幼児室，学習室があります．
北部福祉会館,35.14330932,137.0432002,ティーンズスペース，図書コーナー，学習室があります．
東部福祉会館,35.13311228,137.0615677,遊戯室・図書室があります．
南部福祉会館,35.1230686,137.0453151,遊戯室・図書室があります．
岩崎台・香久山福祉会館,35.14400373,137.028919,遊戯室・図書室があります．
相野山福祉会館,35.15638253,137.0573873,遊戯室・図書室があります．
にっしん子育て総合支援センター,35.12037816,137.0546242,地域に住む就学前の子どもと保護者を対象とした子育て支援施設です．
子育て支援センター（日東保育園内）,35.13920733,137.0480547,地域に住む就学前の子どもと保護者を対象とした子育て支援施設です．
子育て支援センター（名古屋学芸大学子どもケアセンター内）,35.158123,137.038797,地域に住む就学前の子どもと保護者を対象とした子育て支援施設です．
にっしんファミリー・サポート・センター,35.120444,137.054517,育児の援助を行いたい人と援助を受けたい人が会員となり，相互援助活動を行うための組織です．
ハレルヤ第１こども園,35.12659,137.036448,民間児童クラブです．全小学区を対象にしています．
ハレルヤ第２こども園,35.126733,137.036746,民間児童クラブです．全小学区を対象にしています．
マミーベア放課後児童クラブ,35.120929,137.014895,民間児童クラブです．全小学区を対象にしています．
わせだ放課後児童クラブ,35.121166,137.01741,民間児童クラブです．全小学区を対象にしています．
放課後児童クラブ　キッズデイズ香久山,35.141951,137.026201,民間児童クラブです．全小学区を対象にしています．
放課後児童クラブ　キッズデイズ浅田,35.128928,137.025229,民間児童クラブです．全小学区を対象にしています．
リーベルツリーハウス,35.146314,137.022122,民間児童クラブです．全小学区を対象にしています．
にしっこクラブ,35.12619506,137.0338244,民間児童クラブです．西小学区を対象にしています．
こめっこクラブ,35.132706,137.061433,民間児童クラブです．東小学区を対象にしています．
さくらんぼクラブ,35.133314,137.060678,民間児童クラブです．東小学区を対象にしています．
きたっこクラブ,35.149794,137.046583,民間児童クラブです．北小学区を対象にしています．
かにっこクラブ,35.12903741,137.0430943,民間児童クラブです．南小学区を対象にしています．
のびのびクラブ,35.15638253,137.0573873,民間児童クラブです．相野山小学区を対象にしています．
そよかぜクラブ,35.144349,137.028552,民間児童クラブです．香久山小学区を対象にしています．
ほしのこクラブ,35.12058249,137.0567591,民間児童クラブです．梨の木小学区を対象にしています．
にじのこクラブ,35.120964,137.057111,民間児童クラブです．梨の木小学区を対象にしています．
どんぐりクラブ,35.126861,137.013942,民間児童クラブです．赤池小学区を対象にしています．
たけのこクラブ,35.15280169,137.0330097,民間児童クラブです．竹の山小学区を対象にしています．
にし放課後子ども教室・にし児童クラブ,35.12856343,137.0290444,西小学区を対象にした放課後子ども総合プラン事業です．
ひがし放課後子ども教室・ひがし児童クラブ,35.13763524,137.0642128,東小学区を対象にした放課後子ども総合プラン事業です．
きた放課後子ども教室・きた児童クラブ,35.1495162,137.0483799,北小学区を対象にした放課後子ども総合プラン事業です．
みなみ放課後子ども教室・みなみ児童クラブ,35.12431582,137.0451933,南小学区を対象にした放課後子ども総合プラン事業です．
あいのやま放課後子ども教室・あいのやま児童クラブ,35.15281662,137.0593507,相野山小学区を対象にした放課後子ども総合プラン事業です．
かぐやま放課後子ども教室・かぐやま児童クラブ,35.14233446,137.0285551,香久山小学区を対象にした放課後子ども総合プラン事業です．
なしのき放課後子ども教室・なしのき児童クラブ,35.12080043,137.0572255,梨の木小学区をを対象にした放課後子ども総合プラン事業です．
あかいけ放課後子ども教室・あかいけ児童クラブ,35.11844198,137.0168697,赤池小学区を対象にした放課後子ども総合プラン事業です．
たけのやま放課後子ども教室・たけのやま児童クラブ,35.15280169,137.0330097,竹の山小学区を対象にした放課後子ども総合プラン事業です．
はくさん幼稚園,35.133499,137.049017,私立幼稚園です．
和合あかつき幼稚園,35.112634,137.040995,私立幼稚園です．
日進旭丘幼稚園,35.130486,137.029291,私立幼稚園です．
ハイランド白山幼稚園,35.154203,137.057983,私立幼稚園です．
日進ベタニヤ幼稚園,35.146461,137.031004,私立幼稚園です．
香久山幼稚園,35.137878,137.028602,私立幼稚園です．
西部保育園,35.11935799,137.0169774,公立保育園です．
北部保育園,35.15057777,137.0343697,公立保育園です．
中部保育園,35.12832766,137.0244809,公立保育園です．
新ラ田保育園,35.14260748,137.0338518,公立保育園です．
東部保育園,35.13289428,137.060704,公立保育園です．
南部保育園,35.12043302,137.0450402,公立保育園です．
梅森保育園,35.13453646,137.0217694,公立保育園です．
三本木保育園,35.14255407,137.0818956,公立保育園です．
北新田保育園,35.15781742,137.0549719,公立保育園です．
米野木台西保育園,35.12325752,137.0598465,公立保育園です．
日東保育園,35.139288,137.04779,私立保育園です．
あかいけ屋下保育園,35.124981,137.009913,私立保育園です．
香久山保育園,35.13787,137.02861,私立保育園です．
日進めばえ保育園,35.126463,137.040477,私立保育園です．
キッズツリーハウス認定こども園竹の山,35.155426,137.026246,認定こども園です．
愛知国際プリスクール,35.121893,137.059091,認定こども園です．
マミーベア保育園あかいけ,35.120929,137.014895,小規模保育事業所です．
たんぽぽ保育園,35.135156,137.015431,小規模保育事業所です．
ル クール保育園,35.162127,137.040706,小規模保育事業所です．
ベビールームポッポ,35.144705,137.04225,認可外保育施設です．
ｍｅｍｏｒｙ　ｔｒｅｅ 赤池保育園,35.120986,137.011313,認可外保育施設です．
たんぽぽ保育園　かぐやま,35.146756,137.02831,認可外保育施設です．
kidsオリーブ,35.125578,137.02198,認可外保育施設です．
マミーベア保育園 あかいけにし,35.121019,137.014107,認可外保育施設です．
チャイルドマインダー　うみいろ・そらいろ,35.143604,137.022126,認可外保育施設です．
ｍｅｍｏｒｙ　ｔｒｅｅ　梅森台保育園,35.134259,137.015121,認可外保育施設です．
日進おりど病院,35.123351,137.041193,病児・病後児保育施設です．
日進市子ども発達支援センターすくすく園,35.15201565,137.0343415,障害又はその疑いのある就学前児童が通う公立通所施設です．
